State,Capital city,Second city,Third city
Alabama,Montgomery,Auburn,Birmingham
Alaska,Juneau,Anchorage,Fairbanks
Arizona,Phoenix,Tucson,Flagstaff
Arkansas,Little Rock,Fayetteville,Arkansas City
California,Sacramento,Los Angeles,San Francisco
Colorado,Denver,Colorado Springs,Boulder
Connecticut,Hartford,Bridgeport,New Haven
Delaware,Dover,Wilmington,Newark
Florida,Tallahassee,Miami,Orlando
Georgia,Atlanta,Savannah,Athens
Hawaii,Honolulu,Hilo,Kailua-Kona
Idaho,Boise,Idaho Falls,Nampa
Illinois,Springfield,Chicago,Rockford
Indiana,Indianapolis,Fort Wayne,Bloomington
Iowa,Des Moines,Cedar Rapids,Davenport
Kansas,Topeka,Wichita, Kansas City
Kentucky,Frankfort,Bowling Green,Lexington
Louisiana,Baton Rouge,New Orleans,Lafayette
Maine,Augusta,Bangor,Portland
Maryland,Annapolis,Baltimore,Ocean City
Massachusetts,Boston,Springfield,Worcester
Michigan,Lansing,Detroit,Grand Rapids
Minnesota,Saint Paul,Minneapolis,Duluth
Mississippi,Jackson,Tupelo,Hattiesburg
Missouri,Jefferson City,St. Louis,Columbia
Montana,Helena,Bozeman,Missoula
Nebraska,Lincoln,Omaha,Grand Island
Nevada,Carson City,Reno,Las Vegas
New Hampshire,Concord,Manchester,Portsmouth
New Jersey,Trenton,Jersey City,Princeton
New Mexico,Santa Fe,Albuquerque,Silver City
New York,Albany,New York City,Syracuse
North Carolina,Raleigh,Asheville,Greensboro
North Dakota,Bismarck,Fargo,Grand Forks
Ohio,Columbus,Cincinnati,Cleveland
Oklahoma,Oklahoma City,Tulsa,Norman
Oregon,Salem,Portland,Eugene
Pennsylvania,Harrisburg,Philadelphia,Pittsburgh
Rhode Island,Providence,Newport,Warwick
South Carolina,Columbia,Charleston,Greenville
South Dakota,Pierre,Sioux Falls,Rapid City
Tennessee,Nashville,Memphis,Chattanooga
Texas,Austin,Houston,Dallas
Utah,Salt Lake City,Provo,St. George
Vermont,Montpelier,Burlington,Woodstock
Virginia,Richmond,Charlottesville,Williamsburg
Washington,Olympia,Seattle,Tacoma
West Virginia,Charleston,Morgantown,Huntington
Wisconsin,Madison,Milwaukee,Green Bay
Wyoming,Cheyenne,Jackson,Casper